Observation,Odds,Ranking Difference,Home(1) / Away(0),Team Value (in millions of euros),Points earned in last five games,"Win the last confrontation (Win=1, Not a win=0)","Loss in the last confrontation (Loss =1, Not a loss = 0)",Overall Ranking
Caen 20,3.6,-14,1,26.2,6,0,1,16
Lille 20,2.2,14,0,150.25,8,1,0,2
Paris 20,1.2,16,0,912.65,11,1,0,1
Montpellier 20,2.2,13,0,81.6,4,1,0,5
Lyon 20,1.45,8,1,389.4,6,1,0,3
Marseille 20,1.75,13,1,271.05,6,1,0,6
Saint-Etienne 20,2.75,16,0,102.35,6,1,0,4
Nice 20,2.6,5,1,131.7,6,1,0,7
Nimes 20,2.2,5,1,76.6,6,1,0,10
Strasbourg 20,3.5,6,0,83.4,6,0,0,8
Bordeaux 20,2.9,-5,0,120.75,6,0,1,12
Reims 20,6.5,-8,0,59.7,6,0,1,11
Nantes 20,2.7,-4,1,98.55,6,0,1,13
Rennes 20,2.7,4,0,131.45,6,1,0,9
Angers 20,3.5,-5,0,58,6,0,1,15
Toulouse 20,2.15,-6,1,72.45,6,0,0,14
Dijon 20,3.25,-13,1,73.05,6,0,1,18
Monaco 20,3.9,-13,0,304.85,6,0,1,19
Amiens 20,13,-16,1,62.2,6,0,1,17
Guingamp 20,2.7,-16,1,30.35,6,0,1,20
Paris 21,1.05,19,1,912.65,13,1,0,1
Lille 21,1.6,15,1,150.25,10,1,0,2
Saint-Etienne 21,3.4,1,1,102.35,10,0,1,3
Lyon 21,2.05,-1,0,389.4,6,1,0,4
Montpellier 21,3.9,4,0,81.6,2,0,0,5
Marseille 21,1.75,10,0,271.05,5,1,0,6
Nice 21,3.7,4,0,131.7,6,0,1,7
Strasbourg 21,4.25,11,0,83.4,8,1,0,8
Rennes 21,2,-4,1,131.45,12,0,0,9
Nimes 21,1.95,4,1,76.6,9,1,0,10
Reims 21,2.15,-4,1,59.7,6,1,0,11
Bordeaux 21,1.6,6,1,120.75,7,1,0,12
Nantes 21,3.4,2,0,98.55,6,0,0,13
Toulouse 21,3.7,-4,0,72.45,7,0,1,14
Angers 21,2.35,-2,1,58,3,0,0,15
Caen 21,4.45,-10,1,26.2,5,0,1,16
Amiens 21,6.5,-15,0,62.2,5,0,1,17
Dijon 21,5.5,-6,0,73.05,4,0,1,18
Monaco 21,1.85,-11,1,304.85,5,0,1,19
Guingamp 21,19,-19,0,30.35,6,0,1,20
Paris 22,1.15,8,1,912.65,15,1,0,1
Lille 22,3,3,0,150.25,10,1,0,2
Lyon 22,1.46,14,0,389.4,9,1,0,3
Saint-Etienne 22,2.65,10,0,102.35,10,1,0,4
Marseille 22,2.4,-3,1,271.05,8,0,1,5
Strasbourg 22,2.15,5,1,83.4,10,1,0,6
Montpellier 22,1.5,9,1,81.6,3,1,0,7
Nice 22,2.35,2,1,131.7,6,1,0,8
